ID	Category	Sub Category	English	Telugu	Hindi
tdn-17	Traditions	Festivals	Bihu coincides with Vaisakhi in north India, which is observed by Sikhs and Hindus.		बिहू उत्तर भारत में वैसाखी के साथ मेल खाता है, जो सिख और हिंदुओं द्वारा मनाया जाता है।
tdn-18	Traditions	Festivals	India, being a multi-cultural, multi-ethnic and multi-religious society, celebrates holidays and festivals of various religions. 		भारत, बहु-सांस्कृतिक, बहु-जातीय और बहु-धार्मिक समाज होने के नाते, विभिन्न धर्मों की छुट्टियों और त्यौहारों का जश्न मनाता है।
tdn-19	Traditions	Wild -Life	India's wildlife has been the subject of numerous other tales and fables such as the Panchatantra.		भारत का वन्यजीव पंचतंत्र जैसी कई अन्य कहानियों और दंतकथाओं का विषय रहा है।
tdn-20	Traditions	Wild -Life	In Hinduism, the cow is regarded as a symbol of ahimsa and mother goddess.		हिंदू धर्म में गाय को अहिंसा और देवी मां का प्रतीक माना जाता है।
tdn-21	Traditions	Wild -Life	Feeding a cow is seen as an act of worship.		गाय को दूध पिलाना पूजा के कार्य के रूप में देखा जाता है।
tdn-22	Traditions	Wild -Life	India is home to a large variety of wildlife.		भारत वन्यजीवों की एक विशाल विविधता का घर है।
tdn-23	Traditions	Cuisine	Indian food is as diverse as India.		भारतीय भोजन भारत जितना ही विविध है।
tdn-24	Traditions	Cuisine	India is known for its love for food and spices.		भारत भोजन और मसालों प्यार के लिए जाना जाता है।
tdn-25	Traditions	Cuisine	Indian cuisine varies from region to region, reflecting the local produce, cultural diversity, and varied demographics of the country.		भारतीय व्यंजन एक क्षेत्र से दूसरे क्षेत्र में भिन्न होते हैं, जो देश की स्थानीय उपज, सांस्कृतिक विविधता और विभिन्न जनसांख्यिकी को दर्शाते हैं।
tdn-26	Traditions	Cuisine	Generally, Indian cuisine can be split into five categories – northern, southern, eastern, western, and northeastern. 		आम तौर पर, भारतीय व्यंजनों को पांच श्रेणियों में विभाजित किया जा सकता है - उत्तरी, दक्षिणी, पूर्वी, पश्चिमी और उत्तरपूर्वी।
tdn-27	Traditions	Cuisine	The diversity of Indian cuisine is characterised by the differing use of many spices and herbs, a wide assortment of recipes and cooking techniques.		भारतीय व्यंजनों की विविधता कई मसालों और जड़ी-बूटियों के अलग-अलग उपयोग, व्यंजनों की एक विस्तृत श्रृंखला और खाना पकाने की कौशल विशेषता है।
tdn-28	Traditions	Cuisine	A significant portion of Indian food is vegetarian, many Indian dishes also include meats like chicken, mutton, fish.		भारतीय भोजन का एक महत्वपूर्ण हिस्सा शाकाहारी है, कई भारतीय व्यंजनों में चिकन, मटन, मछली जैसे मांस भी शामिल हैं।
tdn-29	Traditions	Cuisine	Fish-based cuisines are common in eastern states of India.		भारत के पूर्वी राज्यों में मछली आधारित व्यंजन हैं।
tdn-30	Traditions	Cuisine	Indian cuisine is one of the most popular cuisines across the globe.		भारतीय व्यंजन दुनिया भर में सबसे लोकप्रिय व्यंजनों में से एक है।
tdn-31	Traditions	Cuisine	The most common cuisine served on the menu would be Punjabi cuisine.		भोजनसूची में परोसा जाने वाला सबसे आम व्यंजन पंजाबी व्यंजन होगा।
tdn-32	Traditions	Cuisine	 Indian spices and herbs were one of the most sought after trade commodities. 		भारतीय मसाले और जड़ी-बूटियाँ सबसे अधिक मांग वाली व्यापारिक वस्तुओं में से एक थीं।
tdn-33	Traditions	Cuisine	 Telugu food is rich in spices and chillies and are abundantly used. 		तेलुगू खाना मसालों से भरपूर होता है और मिर्च का इस्तेमाल बहुतायत से किया जाता है।
tdn-34	Traditions	Cuisine	Telugu food also generally tends to be more on the tangy side with tamarind and lime juice.		तेलुगू खाना भी आम तौर पर इमली और नीबू के रस के साथ चटपटा होता है।
tdn-35	Traditions	Cuisine	Rice is the staple food of Telugu people.		चावल तेलुगु लोगों का मुख्य भोजन है।
tdn-36	Traditions	Cuisine	Starch is consumed with a variety of curries and lentil soups.		श्वेतसार का सेवन कई तरह की दाल के सूप के साथ किया जाता है।
tdn-37	Traditions	Cuisine	Hyderabadi cuisine includes popular delicacies such as Biryani, Haleem, Baghara baingan.		हैदराबादी व्यंजनों में बिरयानी, हलीम, बघारा बैंगन जैसे लोकप्रिय व्यंजन शामिल हैं।
tdn-38	Traditions	Cuisine	Yogurt is a common addition to meals, as a way of tempering spiciness.		तीखेपन को तड़का लगाने के तरीके के रूप में दही भोजन में एक सामान्य जोड़ है।
tdn-39	Traditions	Clothing	Indian women perfect their sense of charm and fashion with makeup and ornaments.		भारतीय महिलाएं सिंगार और गहनों के साथ अपने आकर्षण और भूषाचार की भावना को परिपूर्ण करती हैं।
tdn-40	Traditions	Clothing	Bindi, mehendi, earrings, bangles and other jewellery are common.		बिंदी, मेहंदी, झुमके, चूड़ियाँ और अन्य गहने आम हैं।
tdn-41	Traditions	Clothing	Sindoor is the traditional mark of a married woman for Hindus.		सिंदूर हिंदुओं के लिए एक विवाहित महिला का पारंपरिक चिह्न है।
tdn-42	Traditions	Epics	The Mahabharata and the Ramayaṇa are the oldest preserved and well-known epics of India.		महाभारत और रामायण भारत के सबसे पुराने संरक्षित और प्रसिद्ध महाकाव्य हैं।
tdn-43	Traditions	Dance	India has had a long romance with the art of dance.		नृत्य की कला के साथ भारत का एक लंबा प्रेम लीला रहा है।
tdn-44	Traditions	Dance	Indian dance includes eight classical dance forms.		भारतीय नृत्य में आठ शास्त्रीय नृत्य शामिल हैं।
tdn-45	Traditions	Politics	India is the world's most populous democracy.		भारत दुनिया का सबसे अधिक आबादी वाला लोकतंत्र है।
tdn-46	Traditions	Politics	India is a federal union comprising 28 states and 8 union territories.		भारत एक संघीय संघ है जिसमें 28 राज्य और 8 केंद्र शासित प्रदेश शामिल हैं।
tdn-47	Traditions	Language	India is home to two major language families : Indo-Aryan and Dravidian.		भारत दो प्रमुख भाषा परिवारों का घर है: इंडो-आर्यन और द्रविड़ियन।
tdn-48	Traditions	Language	The Southern Indian languages are from the Dravidian family.		दक्षिणी भारतीय भाषाएं द्रविड़ परिवार से हैं।
tdn-49	Traditions	Language	The Northern Indian languages are from the Indo-Aryan.		इंडो-आर्यन से उत्तरी भारतीय भाषाएँ।
tdn-50	Traditions	Language	Hindi, written in Devanagari script, is the most prominent language spoken in India.		देवनागरी लिपि में लिखी जाने वाली हिंदी, भारत में बोली जाने वाली सबसे प्रमुख भाषा है।
tdn-51	Traditions	Language	Telugu is the most widely spoken Dravidian language in India.		तेलुगु भारत में सबसे अधिक बोली जाने वाली द्रविड़ भाषा है।
tdn-52	Traditions	Language	Telugu is an official language in Andhra Pradesh, Telangana.		तेलुगु आंध्र प्रदेश, तेलंगाना में एक आधिकारिक भाषा है।
tdn-53	Flowers		Flowers are of different colours.		फूल विभिन्न रंगों के होते हैं।
tdn-54	Flowers		Rose is colour of love.		गुलाब प्रेम का रंग है।
tdn-55	Flowers		Lotus is National Flower of India.		कमल भारत का राष्ट्रीय फूल है।
tdn-56	Flowers		Rafflesia is the largest flower in the world.		रैफलेसिया दुनिया का सबसे बड़ा फूल है।
tdn-57	Flowers		Wolffia is the smallest flower in the world.		वोल्फिया दुनिया का सबसे छोटा फूल है।
tdn-58	Flowers		Flowers are used as decorative items.		फूलों का उपयोग सजावटी वस्तुओं के रूप में किया जाता है।
tdn-59	Flowers		Lilly is very famous for its fragrance.		कुमुदिनी फूल अपनी खुशबू के लिए बहुत मशहूर है।
tdn-60	Flowers		Flower giving is one of the popular social amenities.		फूल देना लोकप्रिय सामाजिक सुविधाओं में से एक है।
tdn-61	Flowers		Anthology is the study of flowers.		संकलन फूलों का अध्ययन है।
tdn-62	Flowers		Collection of flowers in a creative pattern is a Bouquet.		रचनात्मक प्रतिरूप में फूलों का संग्रह एक गुलदस् है।
tdn-63	Flowers		A circular arrangement of flowers and leaves together is called as Garland.		फूलों और पत्तियों की एक साथ गोलाकार व्यवस्था को फूलों का हार कहा जाता है।
tdn-64	Flowers		Sunflower blooms towards the Sun.		सूरजमुखी सूर्य की ओर खिलता है।
tdn-65	Flowers		Native Americans view sunflowers as a symbol of harvest.		अमेरिकी मूल-निवासी सूरजमुखी को फसल के प्रतीक के रूप में देखते हैं।
tdn-66	Flowers		Sunflower is best known for it's dazzling yellow color and large size.		सूरजमुखी अपने चमकीले पीले रंग और बड़े आकार के लिए जाना जाता है।
tdn-67	Flowers		Sunflower oil is used in Cooking.		सूरजमुखी के तेल का इस्तेमाल खाना बनाने में किया जाता है।
tdn-68	Flowers		Flowers are used in Perfumes.		इत्र में फूलों का इस्तेमाल किया जाता है।
tdn-69	Flowers		Flowers are used in Soaps.		फूलों का उपयोग साबुन में किया जाता है।
tdn-70	Flowers		Jasmine is commonly used as Tea  in China.		चमेली आमतौर पर चीन में चाय के रूप में प्रयोग की जाती है।
tdn-71	Flowers		Flowers are used in medical field like Ayurveda.		आयुर्वेद जैसे चिकित्सा क्षेत्र में फूलों का उपयोग किया जाता है।
tdn-72	Flowers		Lavender is a violet flower admired for its Aroma.		लैवेंडर एक बैंगनी फूल है जिसे इसकी सुगंध के लिए सराहा जाता है।
tdn-73	Flowers		Flowers are used by bees to produce Honey.		मधुमक्खियां शहद के उत्पादन के लिए फूलों का उपयोग करती हैं।
tdn-74	Flowers		The Calla Lily is associated with faith and purity.		कैला लिली आस्था और पवित्रता से जुड़ी है।
tdn-75	Flowers		Once cut, calla lilies can last 2 weeks in a vase.		एक बार कट जाने के बाद, कैला लिली फूलदान में 2 सप्ताह तक रह सकती है।
tdn-76	Flowers		Daisies are found on every continent other than Antarctica.		डेज़ी अंटार्कटिका के अलावा हर महाद्वीप पर पाए जाते हैं।
tdn-77	Flowers		Daisy flowers prefer full sun and average soil conditions.		गुलबहार फूल पूर्ण सूर्य और औसत मिट्टी की स्थिति पसंद करते हैं।
tdn-78	Flowers		Gardenia’s are most famous for their scent.		गार्डेनिया अपनी खुशबू के लिए सबसे प्रसिद्ध हैं।
tdn-79	Flowers		Gerbera Daisy comes in a full rainbow of colors, including pink, orange, yellow and red. 		जरबेरा डेज़ी गुलाबी, नारंगी, पीले और लाल सहित रंगों के पूरे इंद्रधनुष में आती है।
tdn-80	Flowers		Vibrant petals of Gerbera Daisy make it the flower of choice for celebrating every happy occasion, from birthdays to weddings.		जरबेरा डेज़ी की जीवंत पंखुड़ियाँ इसे जन्मदिन से लेकर शादियों तक हर खुशी के मौके पर मनाने के लिए पसंद का फूल बनाती हैं।
tdn-81	Flowers		Lilies are found dominantly in the Northern Hemisphere of the world.		दुनिया के उत्तरी गोलार्ध में कुमुदिनी प्रमुख रूप से पाई जाती है।
tdn-82	Flowers		Orchids are one of the oldest flower plants known to man.		आर्किड मनुष्य को ज्ञात सबसे पुराने फूलों के पौधों में से एक है।
tdn-83	Flowers		 Orchids generally represent love,  thoughtfulness and charm. 		आर्किड आमतौर पर प्यार, विचारशीलता और आकर्षण का प्रतिनिधित्व करते हैं।
tdn-84	Flowers		Phalaenopsis orchids symbolize health and prosperity.		फेलेनोप्सिस ऑर्किड स्वास्थ्य और समृद्धि का प्रतीक है।
tdn-85	Flowers		Dendrobium orchids represent wisdom & beauty.		डेंड्रोबियम ऑर्किड ज्ञान और सुंदरता का प्रतिनिधित्व करते हैं।
tdn-86	Flowers		Cymbidium orchids symbolize strength & nobility.		सिंबिडियम ऑर्किड ताकत और बड़प्पन का प्रतीक है।
tdn-87	Flowers		Oncydium orchids symbolize love & talent.		ऑन्सीडियम ऑर्किड प्यार और प्रतिभा का प्रतीक है।
tdn-88	Flowers		Roses have been naturally growing for over 35 million years.		गुलाब 35 मिलियन से अधिक वर्षों से स्वाभाविक रूप से बढ़ रहे हैं।
tdn-89	Flowers		Tulips come in a large variety of colors that each have their own meaning.		ट्यूलिप कई प्रकार के रंगों में आते हैं, जिनमें से प्रत्येक का अपना अर्थ होता है।
tdn-90	Flowers		Marigolds are known to symbolize a desire for wealth and succeess.		गेंदा धन की इच्छा और सफल होने का प्रतीक माना जाता है।
tdn-91	Flowers		Buttercups are amazingly diverse wildflowers popping up in temperate Asia, Europe and North America.		बटरकप समशीतोष्ण एशिया, यूरोप और उत्तरी अमेरिका में आश्चर्यजनक रूप से विविध जंगली फूल हैं।
tdn-92	Flowers		Daffodils is the national flower of Wales.		डैफोडील्स वेल्स का राष्ट्रीय फूल हैं।
tdn-93	Flowers		Snapdragon flowers, shaped like little dragon snouts, are native to the United States, North Africa, and Europe.		छोटे ड्रैगन थूथन के आकार के स्नैपड्रैगन फूल, संयुक्त राज्य अमेरिका, उत्तरी अफ्रीका और यूरोप के मूल निवासी हैं।
tdn-94	Flowers		Many flowers have important symbolic meanings in Western culture.		पश्चिमी संस्कृति में कई फूलों के महत्वपूर्ण प्रतीकात्मक अर्थ हैं।
tdn-95	Flowers		Poppies are a symbol of consolation in time of death.		पोपियां मृत्यु के समय सांत्वना का प्रतीक हैं।
tdn-96	Flowers		Daisies are a symbol of innocence.		डेज़ी मासूमियत का प्रतीक हैं।
tdn-97	Flowers		The Greek goddess of spring, flowers and nature is Chloris.		वसंत, फूल और प्रकृति की ग्रीक देवी क्लोरिस है।
tdn-98	Flowers		Flower that is widely used for worshipping is Hibiscus.		पूजा के लिए व्यापक रूप से उपयोग किया जाने वाला फूल हिबिस्कस है।
tdn-99	Flowers		A common water plant known as Lotus or Water-lily.		एक आम पानी का पौधा जिसे कमल या कुमुदिनी  के नाम से जाना जाता है।
tdn-100	Flowers		Flowers are used as tokens of love or esteem.		फूलों का उपयोग प्रेम या सम्मान के प्रतीक के रूप में किया जाता है।
