ID	Category	Sub Category	ENGLISH	తెలుగు
mnt-11	Monuments	Red Fort	"The fort complex is ""considered to represent the zenith of Mughal creativity under Shah Jahan""	" కోట సముదాయం """"షాజహాన్ క్రింద మొఘల్ సృజనాత్మకత యొక్క అత్యున్నత స్థానానికి ప్రాతినిధ్యం వహిస్తుంది""""."
mnt-12	Monuments	Red Fort	The fort was plundered of its artwork and jewels during Nadir Shah's invasion of the Mughal Empire in 1739.	లో నాదిర్ షా మొఘల్ సామ్రాజ్యంపై దాడి చేసిన సమయంలో ఈ కోట దాని కళాకృతులు మరియు ఆభరణాలు దోచుకోబడ్డాయి.
mnt-13	Monuments	Red Fort	Most of the fort's marble structures were subsequently demolished by the British following the Indian Rebellion of 1857.	నాటి భారత తిరుగుబాటు తరువాత కోట యొక్క పాలరాయి నిర్మాణాలు చాలావరకు బ్రిటిష్ వారు పడగొట్టారు.
mnt-14	Monuments	Red Fort	The fort's defensive walls were largely undamaged, and the fortress was subsequently used as a garrison.	కోట యొక్క రక్షణ గోడలు ఎక్కువగా పాడైపోలేదు మరియు తరువాత కోటను రక్షక దళంగా ఉపయోగించారు.
mnt-15	Monuments	Red Fort	It was designated a UNESCO World Heritage Site in 2007 as part of the Red Fort Complex.	దీనిని ఎర్రకోట కాంప్లెక్స్‌లో భాగంగా 2007 లో యునెస్కో ప్రపంచ వారసత్వ ప్రదేశంగా నియమించారు.
mnt-16	Monuments	Red Fort	The fort lies along the Yamuna River, which fed the moats surrounding most of the walls.	ఈ కోట యమునా నది వెంట ఉంది, ఇది చాలా గోడల చుట్టూ ఉన్న కందకాలకు ఆహారం ఇచ్చింది.
mnt-17	Monuments	Red Fort	Construction began in the sacred Islamic month of Muharram, on 13 May 1638.Supervised by Shah Jahan, it was completed on 6 April 1648.	మే 1638 న పవిత్ర ఇస్లామిక్ నెల మొహర్రం లో నిర్మాణం ప్రారంభమైంది. షాజహాన్ పర్యవేక్షణలో, ఇది 6 ఏప్రిల్ 1648 న పూర్తయింది.
mnt-18	Monuments	Red Fort	Unlike other Mughal forts, the Red Fort's boundary walls are asymmetrical to contain the older Salimgarh Fort.	ఇతర మొఘల్ కోటల మాదిరిగా కాకుండా, ఎర్రకోట యొక్క సరిహద్దు గోడలు పాత సలీమ్‌గ్ కోటను కలిగి ఉండటానికి అసమానంగా ఉంటాయి.
mnt-19	Monuments	Red Fort	The fortress-palace was a focal point of the city of Shahjahanabad, which is present-day Old Delhi.	ఈ కోట-ప్యాలెస్ షాజహానాబాద్ నగరానికి కేంద్ర బిందువు, ఇది ప్రస్తుత పాత . ఢిల్లీ.
mnt-20	Monuments	Red Fort	Shah Jahan's successor, Aurangzeb, added the Moti Masjid (Pearl Mosque) to the emperor's private quarters, constructing barbicans in front of the two main gates to make the entrance to the palace more circuitous.	షాజహాన్ వారసుడు ఔరంగజేబ్, మోతి మసీదు (పెర్ల్ మసీదు) ను చక్రవర్తి ప్రైవేట్ క్వార్టర్స్‌లో చేర్చి, ప్యాలెస్ ప్రవేశద్వారం మరింత వృత్తాకారంగా ఉండేలా రెండు ప్రధాన ద్వారాల ముందు బార్బికాన్‌లను నిర్మించారు.
mnt-21	Monuments	Red Fort	The Administrative and Fiscal Structure of the Mughal Dynasty Declined after Aurangzeb, and the 5th Century as a Generation of the Palace.	మొఘల్ రాజవంశం యొక్క పరిపాలనా మరియు ఆర్థిక నిర్మాణం ఔరంగజేబు తరువాత క్షీణించింది, మరియు 5 వ శతాబ్దం ప్యాలెస్ యొక్క తరం.
mnt-22	Monuments	Red Fort	In 1712 Jahandar Shah became the Mughal Emperor.	లో జహందర్ షా మొఘల్ చక్రవర్తి అయ్యాడు.
mnt-23	Monuments	Red Fort	Within a year of beginning his rule, Shah was murdered and replaced by Farrukhsiyar.	తన పాలన ప్రారంభించిన ఒక సంవత్సరంలోనే, షాను హత్య చేసి, అతని స్థానంలో ఫరూఖ్సియార్ నియమించబడ్డాడు.
mnt-24	Monuments	Red Fort	Muhammad Shah, known as 'Rangila' (the Colourful) for his interest in art.	ముహమ్మద్ షా, కళపై ఆసక్తి ఉన్నందుకు 'రంగిలా' (కలర్‌ఫుల్) అని పిలుస్తారు.
mnt-25	Monuments	Red Fort	Nadir Shah returned to Persia after three months, leaving a destroyed city and a weakened Mughal empire to Muhammad Shah.	నాదిర్ షా మూడు నెలల తరువాత పర్షియాకు తిరిగి వచ్చాడు, నాశనం చేసిన నగరాన్ని మరియు బలహీనమైన మొఘల్ సామ్రాజ్యాన్ని ముహమ్మద్ షాకు వదిలివేసాడు.
mnt-26	Monuments	Red Fort	The internal weakness of the Mughal Empire made the Mughals only titular rulers of Delhi, and a 1752 treaty made the Marathas protectors of the throne at Delhi.	మొఘల్ సామ్రాజ్యం యొక్క అంతర్గత బలహీనత మొఘలులను ఢిల్లీ పాలకులను మాత్రమే చేసింది, మరియు 1752 ఒప్పందం మరాఠాలను  ఢిల్లీ వద్ద సింహాసనాన్ని రక్షించేలా చేసింది.
mnt-27	Monuments	Red Fort	The 1758 Maratha victory at Sirhind aided by the Sikhs and successive defeat at Panipat placed them in further conflict with Ahmad Shah Durrani.	సిర్హిండ్ వద్ద 1758 మరాఠా విజయం సిక్కుల సహాయంతో మరియు పానిపట్ వద్ద వరుసగా ఓటమి వారిని అహ్మద్ షా దుర్రానీతో మరింత వివాదానికి గురిచేసింది.
mnt-28	Monuments	Red Fort	In 1760, the Marathas removed and melted the silver ceiling of the Diwan-i-Khas to raise funds for the defence of Delhi from the armies of Ahmed Shah Durrani.	లో, మరాఠాలు అహ్మద్ షా దుర్రానీ సైన్యాల నుండి ఢిల్లీ రక్షణ కోసం నిధులు సేకరించడానికి దివాన్-ఇ-ఖాస్ యొక్క వెండి పైకప్పును తొలగించి కరిగించారు.
mnt-29	Monuments	Red Fort	In 1761, after the Marathas lost the third battle of Panipat, Delhi was raided by Ahmed Shah Durrani.	లో, మరాఠాలు అహ్మద్ షా దుర్రానీ సైన్యాల నుండి ఢిల్లీ రక్షణ కోసం నిధులు సేకరించడానికి దివాన్-ఇ-ఖాస్ యొక్క వెండి పైకప్పును తొలగించి కరిగించారు.
mnt-30	Monuments	Red Fort	Ten years later, the Marathas captured Delhi from the Afghans under the leadership of Mahadji Scindia and Peshwa Madhavrao and placed their puppet emperor Shah Alam II on the throne.	పది సంవత్సరాల తరువాత, మరాఠీలు మహాద్జీ సింధియా మరియు పేష్వా మాధవరావ్ నాయకత్వంలో ఆఫ్ఘన్ల నుండి ఢిల్లీ స్వాధీనం చేసుకున్నారు మరియు వారి తోలుబొమ్మ చక్రవర్తి షా ఆలం 2 సింహాసనంపై ఉంచారు.
mnt-31	Monuments	Red Fort	In 1764 Bharatpur State under Jat ruler Maharaja Jawahar Singh the son of Maharaja Suraj Mal attacked on Delhi and captured Red Fort of Delhi on 5 february 1765.	లో భరత్పూర్ రాష్ట్రం జాట్ పాలకుడు మహారాజా జవహర్ సింగ్ మహారాజా సూరజ్ మాల్ కుమారుడు ఢిల్లీపై దాడి చేసి 17 ఫిబ్రవరి 5 న ఢిల్లీ ఎర్ర కోటను స్వాధీనం చేసుకున్నాడు.
mnt-32	Monuments	Red Fort	Two days later, after taking tribute from the Mughals, removed their armies from the fort.	రెండు రోజుల తరువాత, మొఘలుల నుండి నివాళి తీసుకున్న తరువాత, వారి సైన్యాన్ని కోట నుండి తొలగించారు.
mnt-33	Monuments	Red Fort	The doors are located in the Lohagarh Fort of Bharatpur.	ఈ తలుపులు భరత్పూర్ లోహగర్ కోటలో ఉన్నాయి.
mnt-34	Monuments	Red Fort	In 1783 the Sikh Misl Karor Singhia, led by Baghel Singh, conquered Delhi and the Red Fort.	                 1783 లో బాఘెల్ సింగ్ నేతృత్వంలోని సిక్కు మిస్ల్ కరోర్ సింగియా ఢిల్లీ మరియు ఎర్ర కోటను స్వాధీనం చేసుకుంది.
mnt-35	Monuments	Red Fort	The Red Fort, the largest monument in Delhi,[42] is one of its most popular tourist destinations[43] and attracts thousands of visitors every year.	ిల్లీలోని అతిపెద్ద స్మారక చిహ్నం అయిన ఎర్రకోట,దాని అత్యంత ప్రసిద్ధ పర్యాటక ప్రదేశాలలో ఒకటి మరియు ప్రతి సంవత్సరం వేలాది మంది సందర్శకులను ఆకర్షిస్తుంది
mnt-36	Monuments	Red Fort	The major architectural features are in mixed condition; the extensive water features are dry.	ప్రధాన నిర్మాణ లక్షణాలు మిశ్రమ స్థితిలో ఉన్నాయి; విస్తృతమైన నీటి లక్షణాలు పొడిగా ఉంటాయి..
mnt-37	Monuments	Red Fort	The Red fort appears on the back of the ₹500 note of the Indian rupee.	భారత రూపాయి యొక్క ₹ 500 నోటు వెనుక ఎర్ర కోట కనిపిస్తుంది.
mnt-38	Monuments	Red Fort	To prevent terrorist attacks, security is especially strict around the Red Fort on the eve of Indian Independence Day.	ఉగ్రవాద దాడులను నివారించడానికి, భారత స్వాతంత్ర్య దినోత్సవం సందర్భంగా ఎర్రకోట చుట్టూ భద్రత కఠినంగా ఉంటుంది.
mnt-39	Monuments	Red Fort	Delhi Police and paramilitary personnel keep a watch on neighbourhoods around the fort, and National Security Guard sharpshooters are deployed on high-rises near the fort.	ఢిల్లీ పోలీసులు మరియు పారా మిలటరీ సిబ్బంది కోట చుట్టుపక్కల ప్రాంతాలపై నిఘా ఉంచారు, మరియు నేషనల్ సెక్యూరిటీ గార్డ్ షార్ప్‌షూటర్లను కోట సమీపంలో ఎత్తైన ప్రదేశాలలో మోహరిస్తారు.
mnt-40	Monuments	Red Fort	The airspace around the fort, is a designated as no-fly zone during the celebration to prevent air attacks.	కోట చుట్టూ ఉన్న గగనతలం, వైమానిక దాడులను నివారించడానికి వేడుక సందర్భంగా నో-ఫ్లై జోన్‌గా పేర్కొనబడింది.
mnt-41	Monuments	Red Fort	Safe houses exist in nearby areas to which the prime minister and other Indian leaders may retreat in the event of an attack.	సమీప ప్రాంతాల్లో సురక్షిత గృహాలు ఉన్నాయి, ప్రధానమంత్రి మరియు ఇతర భారత నాయకులు దాడి జరిగినప్పుడు వెనక్కి తగ్గవచ్చు.
mnt-42	Monuments	Red Fort	The Red Fort has an area of 254.67 acres (103.06 ha) enclosed by 2.41 kilometres (1.50 mi) of defensive walls, punctuated by turrets and bastions that vary in height from 18 metres (59 ft) on the river side to 33 metres (108 ft) on the city side.	ఎర్రకోటలో 254.67 ఎకరాల (103.06 హెక్టార్లు) రక్షణ గోడలు ఉన్నాయి, ఇవి నది వైపున 18 మీటర్లు (59 అడుగులు) నుండి 33 మీటర్లు (108 ft) నగరం వైపు ఉన్నాయి.
mnt-43	Monuments	Red Fort	The fort is octagonal, with the north–south axis longer than the east–west axis. The marble, floral decorations and the fort's double domes exemplify later Mughal architecture.	ఈ కోట అష్టభుజి, ఉత్తర-దక్షిణ అక్షం తూర్పు-పడమర అక్షం కంటే పొడవుగా ఉంటుంది. పాలరాయి, పూల అలంకరణలు మరియు కోట యొక్క డబుల్ గోపురాలు తరువాత మొఘల్ నిర్మాణానికి ఉదాహరణ.
mnt-44	Monuments	Red Fort	It showcases a high level of ornamentation, and the Kohinoor diamond was reportedly part of the furnishings.	ఇది ఉన్నత స్థాయి అలంకారాలను ప్రదర్శిస్తుంది, మరియు కోహినూర్ వజ్రం అలంకరణలలో భాగం.
mnt-45	Monuments	Red Fort	The most important surviving structures are the walls and ramparts, the main gates, the audience halls and the imperial apartments on the eastern riverbank.	తూర్పు నదీతీరంలోని గోడలు మరియు ప్రాకారాలు, ప్రధాన ద్వారాలు, ప్రేక్షకుల మందిరాలు మరియు ఇంపీరియల్ అపార్టుమెంట్లు చాలా ముఖ్యమైన నిర్మాణాలు.
mnt-46	Monuments	Red Fort	The adoption of the fort by a private group left people divided and drew criticism from the public, opposition political parties, and historians.	ఒక ప్రైవేట్ సమూహం ఈ కోటను స్వీకరించడం ప్రజలను విభజించి, ప్రజల నుండి, ప్రతిపక్ష రాజకీయ పార్టీలు మరియు చరిత్రకారుల నుండి విమర్శలను ఎదుర్కొంది.
mnt-47	Monuments	Red Fort	The Delhi Gate is the southern public entrance and is similar in layout and appearance to the Lahori Gate.	ప్రజలు నడిచే ిల్లీ గేట్ దక్షిణ బహిరంగ ద్వారం మరియు లాహోరి గేట్ యొక్క లేఅవుట్ మరియు రూపాన్ని పోలి ఉంటుంది.
mnt-48	Monuments	Red Fort	Some buildings are in fairly good condition, with their decorative elements undisturbed, in others, the marble inlaid flowers have been removed by looters.	కొన్ని భవనాలు చాలా మంచి స్థితిలో ఉన్నాయి, వాటి అలంకార అంశాలు చెదిరిపోకుండా ఉన్నాయి, మరికొన్నింటిలో, పాలరాయి పొదగబడిన పువ్వులు దోపిడీదారులచే తొలగించబడ్డాయి.
mnt-49	Monuments	Red Fort	The tea house, although not in its historical state, is a working restaurant.	టీ హౌస్, దాని చారిత్రక స్థితిలో లేనప్పటికీ, నడుస్తున్న రెస్టారెంట్.
mnt-50	Monuments	Red Fort	The mosque and hamam or public baths are closed to the public, although visitors can peer through their glass windows or marble latticework.	మసీదు మరియు హమామ్ లేదా పబ్లిక్ స్నానాలు ప్రజలకు మూసివేయబడ్డాయి, అయినప్పటికీ సందర్శకులు వారి గాజు కిటికీలు లేదా పాలరాయి లాటిస్ వర్క్ ద్వారా చూడవచ్చు.
mnt-51	Monuments	TAJ MAHAL	The Taj Mahal is located in the city of Agra in India and was built by Emperor Shah Jahan in memory of his beloved wife Mumtaz Mahal.	భారతదేశంలోని ఆగ్రా నగరంలో ఉంది, ఇది చక్రవర్తి షాజహాన్ తన ప్రియమైన భార్య ముంతాజ్ మహల్ జ్ఞాపకార్ధంగా నిర్మించాడు.
mnt-52	Monuments	TAJ MAHAL	"The Taj Mahal (also known as the ""Taj"") is considered a great example of Mughal architecture, built in the style of Persian, Indian and Islamic architecture."	"తాజ్ మహల్ (ఇంకా ""తాజ్"") |మొఘల్ భవన నిర్మాణ శాస్త్రానికి ఒక గొప్ప ఉదాహరణగా గుర్తించబడింది, ఇది పర్షియా, భారతీయ, ఇస్లాం భవన నిర్మాణ అంశాల శైలితో నిర్మించబడింది."
mnt-53	Monuments	TAJ MAHAL	"The Taj Mahal was designated as a UNESCO World Heritage Site in 1983 for being ""the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage""."	"వ సంవత్సరంలో తాజ్ మహల్‌ను యునెస్కో ప్రపంచ పూర్వ సంస్కృతి ప్రదేశంగా మార్చినదీ, ""భారత దేశంలో ఉన్న ముస్లిం కళ యొక్క ఆభరణంగా ఉదాహరించింది అంతేగాక విశ్వవ్యాప్తంగా మెచ్చుకొనబడిన వాటిలో ఒక దివ్యమైన ప్రపంచ పూర్వ సంస్కృతిగా అభివర్ణించింది."""
mnt-54	Monuments	TAJ MAHAL	The tomb dome made of white milk stone is a very popular part of it, in fact the Taj Mahal is a composite structure.	తెల్లటి పాల రాయితో చేసిన సమాధి గోపురం దీనిలో ఉన్న బాగా ప్రాచుర్యం పొందిన భాగం, నిజానికి తాజ్ మహల్‌ ఒక మిశ్రమ సమన్వయ నిర్మాణం.
mnt-55	Monuments	TAJ MAHAL	Construction of the structure began in 1632 and was completed in 1653, with thousands of sculptors and craftsmen working on the structure.	ఈ కట్టడం యొక్క నిర్మాణం 1632వ సంవత్సరంలో మొదలై 1653లో పూర్తయింది, వేల మంది శిల్పులు, చేతి పని నిపుణులు ఈ నిర్మాణం కోసం పనిచేశారు.
mnt-56	Monuments	TAJ MAHAL	The construction of the Taj Mahal took place under the sovereign supervision of the Council of Architects such as Abdul-Karim Mamur Khan, Makramat Khan, Ustad Ahmad Lahuri.	తాజ్ మహల్ నిర్మాణం అబ్దుల్-కరీం మాముర్ ఖాన్, మక్రమత్ ఖాన్, ఉస్తాద్ అహ్మద్ లాహూరి మొదలైన నిర్మాణ శిల్పుల మండలి యొక్క సార్వభౌమ్య పర్యవేక్షణలో జరిగింది.
mnt-57	Monuments	TAJ MAHAL	The Taj Mahal was commissioned by Shah Jahan in 1631, to be built in the memory of his wife Mumtaz Mahal, who died on 17 June that year, while giving birth to their 14th child, Gauhara Begum.	తాజ్ మహల్ 1631 లో షాజహాన్ చేత అతని భార్య ముంతాజ్ మహల్ జ్ఞాపకార్థం నిర్మించబడింది, అదే సంవత్సరం జూన్ 17 న వారి 14 వ బిడ్డ గౌహారా బేగంకు జన్మనిస్తూ మరణించారు.
mnt-58	Monuments	TAJ MAHAL	Construction started in 1632,[11] and the mausoleum was completed in 1648, while the surrounding buildings and garden were finished five years later.	నిర్మాణం 1632 లో ప్రారంభమైంది,మరియు సమాధి 1648 లో పూర్తయింది, చుట్టుపక్కల భవనాలు మరియు తోట ఐదు సంవత్సరాల తరువాత పూర్తయింది.
mnt-59	Monuments	TAJ MAHAL	The Taj Mahal incorporates and expands on design traditions of Indo-Islamic and earlier Mughal architecture.	తాజ్ మహల్ ఇండో-ఇస్లామిక్ మరియు మునుపటి మొఘల్ వాస్తుశిల్పం యొక్క డిజైన్ సంప్రదాయాలను కలిగి ఉంది.
mnt-60	Monuments	TAJ MAHAL	The tomb is the central focus of the entire complex of the Taj Mahal.	ఈ కట్టడం యొక్క ప్రధాన ఆకర్షణ, సమాధి.
mnt-61	Monuments	TAJ MAHAL	It is a large, white marble structure standing on a square plinth and consists of a symmetrical building with an iwan (an arch-shaped doorway) topped by a large dome and finial.	ఈ పెద్ద తెల్ల పాలరాయి నిర్మాణం ఒక చతురస్ర పునాది మట్టం మీద ఒక సమవిభక్తా౦గ భవనంగా ఉంటూ ఇవాన్ తోను (ఒక వంపు-ఆకార ప్రవేశ ద్వారం) ఇంకా కప్పుపైన ఒక పెద్ద గోపురం, ఫినియల్‌తో ఉంటుంది.
mnt-62	Monuments	TAJ MAHAL	Like most Mughal tombs, the basic elements are Indo-Islamic in origin.	చాలా మొఘల్ సమాధులలాగే ఇది కూడా తన ప్రాథమిక అంశాలను పర్షియా మూలాలు కలిగి ఉంది.
mnt-63	Monuments	TAJ MAHAL	The base structure is a large multi-chambered cube with chamfered corners forming an unequal eight-sided structure that is approximately 55 metres (180 ft) on each of the four long sides.	ఆధారనంగా ఉంటూ పొడవుగా ఉన్న నాలుగు వైపుల యొక్క ప్రతి వైపు సుమారు 55 మీటర్లతో ఒక అసమాన అష్ట భుజిని ఇది తయారు చేస్తుంది.
mnt-64	Monuments	TAJ MAHAL	Each side of the iwan is framed with a huge pishtaq or vaulted archway with two similarly shaped arched balconies stacked on either side.	ఈ పక్కల యొక్క ప్రతి దాని మీద ఒక భారీ పిష్తాక్ లేదా వంపు చేయబడిన వంపు మార్గం ఇంకా ఒకే పోలిక కలిగిన రెండు ద్వార బంధాలతో ఇవాన్, వంపు చేయబడిన బాల్కనీలు ఏదో ఒక వైపున పెట్టబడి ఉన్నాయి.
mnt-65	Monuments	TAJ MAHAL	This motif of stacked pishtaqs is replicated on the chamfered corner areas, making the design completely symmetrical on all sides of the building.	పేర్చబడిన పిష్తాక్‌ల ఉద్దేశం చాంఫెర్ చేయబడిన మూలల స్థలాల మీద నకలుగా చేర్చబడటం, భవనం యొక్క రూపకల్పన అన్ని వైపులా సంపూర్ణంగా సమవిభక్తంగా ఉంటుంది.
mnt-66	Monuments	TAJ MAHAL	Four minarets frame the tomb, one at each corner of the plinth facing the chamfered corners.	నాలుగు మినార్ లు సమాధికి చట్రంగా ఉన్నాయి, చాంఫెర్ మూలలకు ఇవి అభిముఖంగా ఉంటూ ప్రతి ఒక్కటీ పునాది మట్టం యొక్క మూలలలో ఉన్నాయి.
mnt-67	Monuments	TAJ MAHAL	The main chamber houses the false sarcophagi of Mumtaz Mahal and Shah Jahan; the actual graves are at a lower level.	ప్రధాన గదిలో ఉన్న ముంతాజ్ మహల్, షాజహాన్‌ యొక్క సమాధిరాళ్ళు నకిలీవి; అసలైన సమాధులు ఇంకా దిగువ భాగాన ఉన్నాయి.
mnt-68	Monuments	TAJ MAHAL	The most spectacular feature is the marble dome that surmounts the tomb.	సమాధి ఎగువన ఉన్న పాలరాయి గోపురం ఆకట్టుకునే అతిముఖ్యమైన ఆకృతి.
mnt-69	Monuments	TAJ MAHAL	"The dome is nearly 35 metres (115 ft) high which is close in measurement to the length of the base, and accentuated by the cylindrical ""drum"" it sits on, which is approximately 7 metres (23 ft) high."	"ఇది 35 మీటర్లు పొడవుతో, పునాదితో సమానమైన పొడవును కలిగి ఉంది, 7 మీటర్ల ఎత్తుగల స్థూపాకార ""డ్రమ్"" మీద ఆకర్షణీయంగా కూర్చబడింది."
mnt-70	Monuments	TAJ MAHAL	Because of its shape, the dome is often called an onion dome or amrud (guava dome).	దీని ఆకారం వలన తరచుగా ఈ గోపురం ఉల్లిపాయ గోపురం లేదా అమ్రుద్ (జామ గోపురం) అని పిలువబడుతుంది.
mnt-71	Monuments	TAJ MAHAL	The top is decorated with a lotus design which also serves to accentuate its height.	పైభాగం నేలంబో నుసిఫే (తామర పుష్పం) ఆకారంలో రూపకల్పన చేయబడింది, ఇది కూడా దీని ఎత్తుకు తగిన విధంగా ఉంటుంది.
mnt-72	Monuments	TAJ MAHAL	The shape of the dome is emphasised by four smaller domed chattris (kiosks) placed at its corners, which replicate the onion shape of the main dome.	డోమ్ ఆకార మూలలలో ఉన్న నాలుగు అతి చిన్న డోమ్ గల చత్రీస్ (చవికెలు)చే దీని ఆకారానికి మరింత ఆకర్షణను చేకూర్చుతున్నాయి, ప్రధాన డోమ్‌కు ఉల్లిపాయ ఆకారానికి కారణమవుతున్నాయి.
mnt-73	Monuments	TAJ MAHAL	The dome is slightly asymmetrical. Their columned bases open through the roof of the tomb and provide light to the interior.	వాటి స్తంభాల ఆధారాలు సమాధి యొక్క పై కప్పు వరకు తెరవబడి అంతర్భాగాలకు వెలుగునిస్తాయి.
mnt-74	Monuments	TAJ MAHAL	Tall decorative spires (guldastas) extend from edges of base walls, and provide visual emphasis to the height of the dome.	పొడవుగా ఉండి అలంకరించబడిన స్తంభాలు (గుల్దస్తాస్ ) గోడల ఆధారాల అంచుల నుండి పొడిగించబడ్డాయి, ఇవి గోపురం యొక్క ఎత్తుకి దృశ్యపూర్వకంగా ప్రస్పుటిస్తాయి.
mnt-75	Monuments	TAJ MAHAL	The lotus motif is repeated on both the chattris and guldastas. The dome and chattris are topped by a gilded finial which mixes traditional Persian and Hindustani decorative elements.	నేలంబో నుసిఫెర (తామర పుష్పాల)భావం చత్రీలు, గుల్దస్తాస్ మీద పునరావృతం అవుతుంది. గోపురం, చత్రీలు స్వర్ణ తాపడమైన ఫినియల్ (అలంకరణ) కప్పుతో ఉన్నాయి, అవి పర్షియా, హిందూ అలంకరణ అంశాల మిశ్రమంగా ఉన్నాయి.
mnt-76	Monuments	TAJ MAHAL	The exterior decorations of the Taj Mahal are among the finest in Mughal architecture. As the surface area changes, the decorations are refined proportionally.	ఉపరితల ప్రాంత అలంకరణలను తగిన విధంగా నిర్మలం చేయడం వలన తాజ్ మహల్ బాహ్య అలంకరణలు మొఘల్ నిర్మాణ శాస్త్రాలలో అతి చక్కనైనవిగా కనుగొనబడ్డాయి.
mnt-77	Monuments	TAJ MAHAL	The decorative elements were created by applying paint, stucco, stone inlays or carvings.	స్టక్కో, రాళ్ళను పొదగడం లేదా చెక్కడం, రంగు వేయడం మొదలైనవాటితో అలంకరణ అంశాలు సృష్టించబడ్డాయి.
mnt-78	Monuments	TAJ MAHAL	In line with the Islamic prohibition against the use of anthropomorphic forms, the decorative elements can be grouped into either calligraphy, abstract forms or vegetative motifs.	మానవాకృతితో ఉండే శిల్పాల రూపాల మీద ఉన్న ఇస్లాం నిషేధంతో అలంకరణ అంశాలు నగిషీరాత సంగ్రహ రూపాలుగా లేదా మొక్కల రూప భావాలుగా ఉన్నాయి.
