ID	Category	Sub Category	English	Telugu	Hindi
mnt-22	Monuments	Red Fort	The fort's defensive walls were largely undamaged, and the fortress was subsequently used as a garrison.	కోట యొక్క రక్షణ గోడలు ఎక్కువగా పాడైపోలేదు మరియు తరువాత కోటను రక్షక దళంగా ఉపయోగించారు.	किले की रक्षात्मक दीवारें काफी हद तक क्षतिग्रस्त नहीं थीं, और किले को बाद में एक गढ़ में सेना के रूप में इस्तेमाल किया गया था।
mnt-23	Monuments	Red Fort	It was designated a UNESCO World Heritage Site in 2007 as part of the Red Fort Complex.	దీనిని ఎర్రకోట కాంప్లెక్స్‌లో భాగంగా 2007 లో యునెస్కో ప్రపంచ వారసత్వ ప్రదేశంగా నియమించారు.	इसे 2007 में लाल किला परिसर के हिस्से के रूप में यूनेस्को की विश्व धरोहर स्थल नामित किया गया था।
mnt-24	Monuments	Red Fort	The fort lies along the Yamuna River, which fed the moats surrounding most of the walls.	ఈ కోట యమునా నది వెంట ఉంది, ఇది చాలా గోడల చుట్టూ ఉన్న కందకాలకు ఆహారం ఇచ్చింది.	किला यमुना नदी के किनारे स्थित है, जिसने अधिकांश दीवारों के आसपास की खाई को खिलाया।
mnt-25	Monuments	Red Fort	Construction began in the sacred Islamic month of Muharram, on 13 May 1638.	మే 1638 న పవిత్ర ఇస్లామిక్ నెల మొహర్రం లో నిర్మాణం ప్రారంభమైంది.	13 मई 1638 को मुहर्रम के पवित्र इस्लामी महीने में निर्माण शुरू हुआ।
mnt-26	Monuments	Red Fort	Supervised by Shah Jahan, it was completed on 6 April 1648.	షాజహాన్ పర్యవేక్షణలో, ఇది 6 ఏప్రిల్ 1648 న పూర్తయింది.	शाहजहाँ की देखरेख में, यह 6 अप्रैल 1648 को बनकर तैयार हुआ था।
mnt-27	Monuments	Red Fort	Unlike other Mughal forts, the Red Fort's boundary walls are asymmetrical to contain the older Salimgarh Fort.	ఇతర మొఘల్ కోటల మాదిరిగా కాకుండా, ఎర్రకోట యొక్క సరిహద్దు గోడలు పాత సలీమ్‌గ్ కోటను కలిగి ఉండటానికి అసమానంగా ఉంటాయి.	अन्य मुगल किलों के विपरीत, लाल किले की चारदीवारी पुराने सलीमगढ़ किले को समाहित करने के लिए विषम है।
mnt-28	Monuments	Red Fort	The fortress-palace was a focal point of the city of Shahjahanabad, which is present-day Old Delhi.	ఈ కోట-ప్యాలెస్ షాజహానాబాద్ నగరానికి కేంద్ర బిందువు, ఇది ప్రస్తుత పాత . ఢిల్లీ .	किला-महल शाहजहानाबाद शहर का केंद्र बिंदु था, जो वर्तमान में पुरानी दिल्ली है।
mnt-29	Monuments	Red Fort	Shah Jahan's successor Aurangzeb added the Moti Masjid  to the emperor's private quarters.	షాజహాన్ వారసుడు ఔరంగజేబ్ షాజహాన్ ఔరంగజేబ్ మోతీ మసీదును చక్రవర్తి ప్రైవేట్ క్వార్టర్స్‌లో చేర్చారు.	शाहजहाँ के उत्तराधिकारी औरंगजेब ने मोती मस्जिद को बादशाह के निजी तिमाहियों में जोड़ा।
mnt-30	Monuments	Red Fort	constructing barbicans in front of the two main gates to make the entrance to the palace more circuitous.	ప్యాలెస్ ప్రవేశద్వారం మరింత వృత్తాకారంగా ఉండటానికి రెండు ప్రధాన ద్వారాల ముందు బార్బికాన్లను నిర్మించారు.	महल के प्रवेश द्वार को और अधिक घुमावदार बनाने के लिए दो मुख्य द्वारों के सामने किले या शहर की बाहरी दीवाल का निर्माण करना।
mnt-31	Monuments	Red Fort	The Administrative and Fiscal Structure of the Mughal Dynasty Declined after Aurangzeb.	మొఘల్ రాజవంశం యొక్క పరిపాలనా మరియు ఆర్థిక నిర్మాణం ఔరంగజేబు తరువాత క్షీణించింది.	औरंगजेब के बाद मुग़ल वंश का प्रशासनिक और वित्तीय ढांचा गिर गया।
mnt-32	Monuments	Red Fort	In 1712 Jahandar Shah became the Mughal Emperor.	17+E52లో జహందర్ షా మొఘల్ చక్రవర్తి అయ్యాడు.	1712 में जहांदार शाह मुगल सम्राट बने।
mnt-33	Monuments	Red Fort	Within a year of beginning his rule, Shah was murdered and replaced by Farrukhsiyar.	తన పాలన ప్రారంభించిన ఒక సంవత్సరంలోనే, షాను హత్య చేసి, అతని స్థానంలో ఫరూఖ్సియార్ నియమించబడ్డాడు.	अपने शासन की शुरुआत के एक साल के भीतर, शाह की हत्या कर दी गई और उनकी जगह फर्रुखसियर ने ले ली।
mnt-34	Monuments	Red Fort	Muhammad Shah, known as Rangila for his interest in art.	ముహమ్మద్ షా, కళపై ఆసక్తి ఉన్నందుకు రంగిలా అని పిలుస్తారు.	कला में रुचि के लिए मुहम्मद शाह को रंगीला के नाम से जाना जाता है।
mnt-35	Monuments	Red Fort	In 1739, Persian emperor Nadir Shah easily defeated the strong Mughal army of around 200,000 soldiers.	లో, పెర్షియన్ చక్రవర్తి నాదిర్ షా సుమారు 200,000 మంది సైనికులతో కూడిన బలమైన మొఘల్ సైన్యాన్ని సులభంగా ఓడించాడు,	1739 में, फारसी सम्राट नादिर शाह ने लगभग 200,000 सैनिकों की मजबूत मुगल सेना को आसानी से हरा दिया।
mnt-36	Monuments	Red Fort	Red Fort, including the Peacock Throne is stolen.	నెమలి సింహాసనం సహా ఎర్ర కోటను దోచుకున్నాడు.	मयूर सिंहासन सहित लाल किला चोरी हो गया है।
mnt-37	Monuments	Red Fort	Nadir Shah returned to Persia after three months, leaving a destroyed city and a weakened Mughal empire to Muhammad Shah.	నాదిర్ షా మూడు నెలల తరువాత పర్షియాకు తిరిగి వచ్చాడు, నాశనం చేసిన నగరాన్ని మరియు బలహీనమైన మొఘల్ సామ్రాజ్యాన్ని ముహమ్మద్ షాకు వదిలివేసాడు.	नादिर शाह तीन महीने के बाद फारस लौट आए, एक नष्ट शहर और एक कमजोर मुगल साम्राज्य मुहम्मद शाह को छोड़कर।
mnt-38	Monuments	Red Fort	The internal weakness of the Mughal Empire made the Mughals only titular rulers of Delhi.	మొఘల్ సామ్రాజ్యం యొక్క అంతర్గత బలహీనత మొఘలులను ఢిల్లీ  పాలకులను మాత్రమే చేసింది.	मुगल साम्राज्य की आंतरिक कमजोरी ने मुगलों को केवल दिल्ली का नाममात्र का शासक बना दिया।
mnt-39	Monuments	Red Fort	Marathas protectors of the throne at Delhi.	ఒప్పందం మరాఠాలను  ఢిల్లీ  వద్ద సింహాసనాన్ని రక్షించేలా చేసింది.	दिल्ली में मराठा सिंहासन के रक्षक।
mnt-40	Monuments	Red Fort	The 1758 Maratha victory at Sirhind aided by the Sikhs and successive defeat at Panipat placed them in further conflict with Ahmad Shah Durrani.	సిర్హిండ్ వద్ద 1758 మరాఠా విజయం సిక్కుల సహాయంతో మరియు పానిపట్ వద్ద వరుసగా ఓటమి వారిని అహ్మద్ షా దుర్రానీతో మరింత వివాదానికి గురిచేసింది.	सिखों की सहायता से सरहिंद में 1758 की मराठा जीत और पानीपत में लगातार हार ने उन्हें अहमद शाह दुर्रानी के साथ और संघर्ष में डाल दिया।
mnt-41	Monuments	Red Fort	In 1760, the Marathas removed and melted the silver ceiling of the Diwan-i-Khas to raise funds for the defence of Delhi from the armies of Ahmed Shah Durrani.	1760 లో, మరాఠాలు అహ్మద్ షా దుర్రానీ సైన్యాల నుండి ఢిల్లీ రక్షణ కోసం నిధులు సేకరించడానికి దివాన్-ఇ-ఖాస్ యొక్క వెండి పైకప్పును తొలగించి కరిగించారు.	1760 में, मराठों ने अहमद शाह दुर्रानी की सेनाओं से दिल्ली की रक्षा के लिए धन जुटाने के लिए दीवान-ए-खास की चांदी की छत को हटा दिया और पिघला दिया।
mnt-42	Monuments	Red Fort	In 1761, after the Marathas lost the third battle of Panipat Delhi was raided by Ahmed Shah Durrani.	1761 లో, మరాఠాలు పానిపట్ ఢిల్లీ మూడవ యుద్ధంలో ఓడిపోయిన తరువాత అహ్మద్ షా దుర్రానీపై దాడి చేశారు.	1761 में, मराठों के पानीपत की तीसरी लड़ाई हारने के बाद, दिल्ली पर अहमद शाह दुर्रानी ने छापा मारा।
mnt-43	Monuments	Red Fort	Ten years later the Marathas captured Delhi from the Afghans under the leadership of Mahadji Scindia and Peshwa Madhavrao.	పది సంవత్సరాల తరువాత మరాఠీలు మహాద్జీ సింధియా మరియు పేష్వా మాధవరావ్ నాయకత్వంలో ఆఫ్ఘన్ల నుండి ఢిల్లీ  స్వాధీనం చేసుకున్నారు.	दस साल बाद मराठों ने महादजी सिंधिया और पेशवा माधवराव के नेतृत्व में अफगानों से दिल्ली पर कब्जा कर लिया।
mnt-44	Monuments	Red Fort	Placed their puppet emperor Shah Alam II on the throne.	మరియు వారి తోలుబొమ్మ చక్రవర్తి షా ఆలం 2 సింహాసనంపై ఉంచారు.	अपने कठपुतली सम्राट शाह आलम द्वितीय को गद्दी पर बैठाया।
mnt-45	Monuments	Red Fort	In 1764 Bharatpur State under Jat ruler Maharaja Jawahar Singh the son of Maharaja Suraj Mal attacked on Delhi.	1764 లో భరత్పూర్ రాష్ట్రం జాట్ పాలకుడు మహారాజా జవహర్ సింగ్ మహారాజా సూరజ్ మాల్ కుమారుడు ఢిల్లీ  పై దాడి చేసి.	1764 में जाट शासक महाराजा सूरजमल के पुत्र महाराजा जवाहर सिंह के अधीन भरतपुर राज्य ने दिल्ली पर हमला किया।
mnt-46	Monuments	Red Fort	Captured Red Fort of Delhi on 5 february 1765.	1765  ఫిబ్రవరి 5 న ఢిల్లీ ఎర్ర కోటను స్వాధీనం చేసుకున్నాడు.	5 फरवरी 1765 को दिल्ली के लाल किले पर कब्जा किया।
mnt-47	Monuments	Red Fort	Two days later, after taking tribute from the Mughals, removed their armies from the fort.	రెండు రోజుల తరువాత, మొఘలుల నుండి నివాళి తీసుకున్న తరువాత, వారి సైన్యాన్ని కోట నుండి తొలగించారు.	दो दिन बाद मुगलों से श्रद्धांजलि लेकर किले से अपनी सेना हटा ली।
mnt-48	Monuments	Red Fort	Jats took away the throne of the Mughals called the pride of the Mughals and at the doors of the Red Fort as a memorial.	జాట్లు మొఘలుల సింహాసనాన్ని  మొఘలుల అహంకారం అని మరియు ఎర్రకోట తలుపులను స్మారక చిహ్నంగా తీసివేసారు.	जाटों ने मुगलों का गौरव कहे जाने वाले मुगलों का सिंहासन और लाल किले के दरवाजे पर स्मारक के रूप में ले लिया।
mnt-49	Monuments	Red Fort	And this throne is today enhancing the beauty of the palaces of Deeg.	మరియు ఈ సింహాసనం నేడు డీగ్ రాజభవనాల అందాన్ని పెంచుతోంది.	और यह सिंहासन आज डीग के महलों की शोभा बढ़ा रहा है।
mnt-50	Monuments	Red Fort	The doors are located in the Lohagarh Fort of Bharatpur.	ఈ తలుపులు భరత్పూర్ లోహగర్ కోటలో ఉన్నాయి.	दरवाजे भरतपुर के लोहागढ़ किले में स्थित हैं।
mnt-51	Monuments	Red Fort	In 1783 the Sikh Misl Karor Singhia, led by Baghel Singh, conquered Delhi and the Red Fort.	1783 లో బాఘెల్ సింగ్ నేతృత్వంలోని సిక్కు మిస్ల్ కరోర్ సింగియా ఢిల్లీ మరియు ఎర్ర కోటను జయించాడు.	1783 में बघेल सिंह के नेतृत्व में सिख मिस्ल करोर सिंघिया ने दिल्ली और लाल किले पर विजय प्राप्त की।
mnt-52	Monuments	Red Fort	Baghel Singh, Jassa Singh Ahluwalia and Jassa Singh Ramgarhia all allied with a 40,000 force.	బాగెల్ సింగ్, జస్సా సింగ్ అహ్లువాలియా మరియు జస్సా సింగ్ రామ్‌గారియా అందరూ 40,000 మంది బలంతో పొత్తు పెట్టుకున్నారు.	बघेल सिंह, जस्सा सिंह अहलूवालिया और जस्सा सिंह रामगढ़िया सभी ने 40,000 बल के साथ गठबंधन किया।
mnt-53	Monuments	Red Fort	looted the area from Awadh to Jodhpur.	అవధ్ నుండి జోధ్పూర్ వరకు ఉన్న ప్రాంతాన్ని దోచుకున్నారు.	अवध से लेकर जोधपुर तक के इलाके को लूट लिया।
mnt-54	Monuments	Red Fort	The Red Fort, the largest monument in Delhi, is one of its most popular tourist destinations.	ఢిల్లీ లోని అతిపెద్ద స్మారక చిహ్నం అయిన ఎర్రకోట,దాని అత్యంత ప్రసిద్ధ పర్యాటక ప్రదేశాలలో ఒకటి .	लाल किला, दिल्ली का सबसे बड़ा स्मारक, ये सबसे लोकप्रिय पर्यटन स्थलों में से एक है।
mnt-55	Monuments	Red Fort	Red Fort attracts thousands of visitors every year.	ఎర్రకోట ప్రతి సంవత్సరం వేలాది మంది సందర్శకులను ఆకర్షిస్తుంది.	लाल किला हर साल हजारों आगंतुकों को आकर्षित करता है।
mnt-56	Monuments	Red Fort	The major architectural features are in mixed condition.	ప్రధాన నిర్మాణ లక్షణాలు మిశ్రమ స్థితిలో ఉన్నాయి.	प्रमुख वास्तुशिल्प विशेषताएं मिश्रित स्थिति में हैं।
mnt-57	Monuments	Red Fort	the extensive water features are dry.	విస్తృతమైన నీటి లక్షణాలు పొడిగా ఉంటాయి.	व्यापक जल सुविधाएँ शुष्क हैं।
mnt-58	Monuments	Red Fort	The Red fort appears on the back of the ₹500 note of the Indian rupee.	భారత రూపాయి యొక్క ₹ 500 నోటు వెనుక ఎర్ర కోట కనిపిస్తుంది.	लाल किला भारतीय रुपये के 500 रुपये के नोट के पीछे दिखाई देता है।
mnt-59	Monuments	Red Fort	To prevent terrorist attacks security is especially strict around the Red Fort on the eve of Indian Independence Day.	ఉగ్రవాద దాడులను నివారించడానికి భారత స్వాతంత్ర్య దినోత్సవం సందర్భంగా ఎర్రకోట చుట్టూ భద్రత కఠినంగా ఉంటుంది.	आतंकवादी हमलों को रोकने के लिए भारतीय स्वतंत्रता दिवस की पूर्व संध्या पर लाल किले के आसपास सुरक्षा विशेष रूप से सख्त है।
mnt-60	Monuments	Red Fort	Delhi Police and paramilitary personnel keep a watch on neighbourhoods around the fort.	ఢిల్లీ  పోలీసులు మరియు పారా మిలటరీ సిబ్బంది కోట చుట్టుపక్కల ప్రాంతాలపై నిఘా ఉంచారు.	दिल्ली पुलिस और अर्धसैनिक बल के जवान किले के आसपास के इलाकों पर नजर बनाए हुए हैं.
mnt-61	Monuments	Red Fort	National Security Guard sharpshooters are deployed on high-rises near the fort.	మరియు నేషనల్ సెక్యూరిటీ గార్డ్ షార్ప్‌షూటర్లను కోట సమీపంలో ఎత్తైన ప్రదేశాలలో మోహరిస్తారు.	किले के पास ऊंची इमारतों पर राष्ट्रीय सुरक्षा गार्ड के निशानची तैनात हैं।
mnt-62	Monuments	Red Fort	The airspace around the fort is a designated as no-fly zone during the celebration to prevent air attacks.	కోట చుట్టూ ఉన్న గగనతలం వైమానిక దాడులను నివారించడానికి వేడుక సందర్భంగా నో-ఫ్లై జోన్‌గా పేర్కొనబడింది.	हवाई हमलों को रोकने के लिए उत्सव के दौरान किले के आसपास के हवाई क्षेत्र को उड़ान प्रतिबंधित क्षेत्र के रूप में नामित किया गया है।
mnt-63	Monuments	Red Fort	Safe houses exist in nearby areas to which the prime minister and other Indian leaders may retreat in the event of an attack.	సమీప ప్రాంతాల్లో సురక్షిత గృహాలు ఉన్నాయి, ప్రధానమంత్రి మరియు ఇతర భారత నాయకులు దాడి జరిగినప్పుడు వెనక్కి తగ్గవచ్చు.	आस-पास के इलाकों में सुरक्षित घर मौजूद हैं जहां हमले की स्थिति में प्रधान मंत्री और अन्य भारतीय नेता पीछे हट सकते हैं।
mnt-64	Monuments	Red Fort	The Red Fort has an area of 254.67 acres enclosed by 2.41 kilometres of defensive walls.	ఎర్రకోటలో 254.67 ఎకరాల రక్షణ గోడలు ఉన్నాయి,	लाल किले का क्षेत्रफल 254.67 एकड़ है जो 2.41 किलोमीटर रक्षात्मक दीवारों से घिरा है।
mnt-65	Monuments	Red Fort	punctuated by turrets and bastions that vary in height from 18 metres on the river side to 33 metres on the city side.	ఇవి నది వైపున 18 మీటర్లు నుండి 33 మీటర్లు నగరం వైపు ఉన్నాయి.	बुर्ज और बुर्जों द्वारा विरामित जो कि नदी के किनारे 18 मीटर से लेकर शहर की तरफ 33 मीटर तक की ऊंचाई में भिन्न होते हैं।
mnt-66	Monuments	Red Fort	The fort is octagonal, with the north–south axis longer than the east–west axis.	ఈ కోట అష్టభుజి, ఉత్తర-దక్షిణ అక్షం తూర్పు-పడమర అక్షం కంటే పొడవుగా ఉంటుంది.	किला अष्टकोणीय है, जिसका उत्तर-दक्षिण अक्ष पूर्व-पश्चिम अक्ष से अधिक लंबा है।
mnt-67	Monuments	Red Fort	The marble, floral decorations and the fort's double domes exemplify later Mughal architecture.	పాలరాయి, పూల అలంకరణలు మరియు కోట యొక్క డబుల్ గోపురాలు తరువాత మొఘల్ నిర్మాణానికి ఉదాహరణ.	संगमरमर, फूलों की सजावट और किले के दोहरे गुंबद बाद में मुगल वास्तुकला के उदाहरण हैं।
mnt-68	Monuments	Red Fort	It showcases a high level of ornamentation, and the Kohinoor diamond was reportedly part of the furnishings.	ఇది ఉన్నత స్థాయి అలంకారాలను ప్రదర్శిస్తుంది, మరియు కోహినూర్ వజ్రం అలంకరణలలో భాగం.	यह उच्च स्तर के अलंकरण को प्रदर्शित करता है, और कोहिनूर हीरा कथित तौर पर साज-सज्जा का हिस्सा था।
mnt-69	Monuments	Red Fort	The most important surviving structures are the walls and ramparts, the main gates, the audience halls and the imperial apartments on the eastern riverbank.	తూర్పు నదీతీరంలోని గోడలు మరియు ప్రాకారాలు, ప్రధాన ద్వారాలు, ప్రేక్షకుల మందిరాలు మరియు బహులంతస్తులోని ఇల్లు చాలా ముఖ్యమైన నిర్మాణాలు.	सबसे महत्वपूर्ण जीवित संरचनाएं दीवारें और प्राचीर, मुख्य द्वार, दर्शकों के हॉल और पूर्वी नदी तट पर शाही शाला हैं।
mnt-70	Monuments	Red Fort	The adoption of the fort by a private group left people divided and drew criticism from the public, opposition political parties, and historians.	ఒక ప్రైవేట్ సమూహం ఈ కోటను దత్తత తీసుకోవడం ప్రజలను విభజించి ప్రజల నుండి ప్రతిపక్ష రాజకీయ పార్టీలు మరియు చరిత్రకారుల నుండి విమర్శలను ఎదుర్కొంది.	एक निजी समूह द्वारा किले को अपनाने से लोग विभाजित हो गए और जनता, विपक्षी राजनीतिक दलों और इतिहासकारों की आलोचना हुई।
mnt-71	Monuments	Red Fort	The Delhi Gate is the southern public entrance and is similar in layout and appearance to the Lahori Gate.	ప్రజలు నడిచే గేట్ దక్షిణ బహిరంగ ద్వారం మరియు లాహోరి గేట్ యొక్క లేఅవుట్ మరియు రూపాన్ని పోలి ఉంటుంది.	दिल्ली द्वार दक्षिणी सार्वजनिक प्रवेश द्वार है और लाहौरी द्वार के लेआउट और दिखने में समान है।
mnt-72	Monuments	Red Fort	Some buildings are in fairly good condition, with their decorative elements undisturbed.	కొన్ని భవనాలు చాలా మంచి స్థితిలో ఉన్నాయి, వాటి అలంకార అంశాలు చెదిరిపోకుండా ఉన్నాయి.	कुछ इमारतें काफी अच्छी स्थिति में हैं, उनके सजावटी तत्व अबाधित हैं।
mnt-73	Monuments	Red Fort	In others the marble inlaid flowers have been removed by looters.	మరికొన్నింటిలో, పాలరాయి పొదగబడిన పువ్వులు దోపిడీదారులచే తొలగించబడ్డాయి.	दूसरों में संगमरमर के जड़े फूलों को लुटेरों ने हटा दिया है।
mnt-74	Monuments	Red Fort	The tea house, although not in its historical state, is a working restaurant.	టీ హౌస్, దాని చారిత్రక స్థితిలో లేనప్పటికీ, నడుస్తున్న రెస్టారెంట్.	चाय घर, हालांकि अपनी ऐतिहासिक स्थिति में नहीं है, एक कामकाजी भोजनालय है।
mnt-75	Monuments	Red Fort	The mosque and hamam or public baths are closed to the public.	మసీదు మరియు హమామ్ లేదా పబ్లిక్ స్నానాలు ప్రజలకు మూసివేయబడ్డాయి	मस्जिद और हमाम या सार्वजनिक स्नानागार जनता के लिए बंद हैं।
mnt-76	Monuments	Red Fort	although visitors can peer through their glass windows or marble latticework.	అయినప్పటికీ సందర్శకులు వారి గాజు కిటికీలు లేదా పాలరాయి లాటిస్ వర్క్ ద్వారా చూడవచ్చు.	हालांकि आगंतुक अपनी कांच की खिड़कियों या संगमरमर की जाली के माध्यम से देख सकते हैं।
mnt-77	Monuments	Taj Mahal	తాజ్ మహల్	
mnt-78	Monuments	Taj Mahal	The Taj Mahal is located in the city of Agra in India.	తాజ్ మహల్ భారతదేశంలోని ఆగ్రా నగరంలో ఉంది.	ताजमहल भारत के आगरा शहर में स्थित है।
